text,label
石韦、大腹皮、生地榆、生大黄通腑降浊、利尿消肿,"{'石韦': '中药', '大腹皮': '中药', '生地榆': '中药', '大黄': '中药'}"
中西药联合用药治疗运动障碍型功能性消化不良附１５６例病例报告,{'运动障碍型功能性消化不良': '西医诊断'}
连服二剂后，面黄减退，肤色转泽,{'面黄': '临床表现'}
【方法】将符合纳入标准的１１０例功能性消化不良患者随机分为中药组和西药组各５５例,{'功能性消化不良': '西医诊断'}
目的观察壮药消痞导滞片治疗功能性消化不良（ＦＤ）的临床疗效,{'功能性消化不良': '西医诊断'}
结论（１）电针和普通针刺治疗气虚型功能性便秘均可获良效,"{'气虚': '中医证候', '功能性便秘': '西医诊断'}"
本年２月，腹痛、腹泻、腹胀加重，且伴有低热，不能支持全日工作，开始半休,"{'腹痛': '临床表现', '腹泻': '临床表现', '腹胀': '临床表现', '低热': '临床表现'}"
目的：观察柴胡疏肝散加减配合西药西沙必利治疗气滞型功能性消化不良的临床疗效,"{'柴胡疏肝散加减': '方剂', '西沙必利': '西医治疗', '气滞': '中医证候', '功能性消化不良': '西医诊断'}"
１０剂药尽，面色红润，全身有力，中脘舒适，肿块消失,{'面色红润': '临床表现'}
服至１０剂，浮肿及腹水消尽，泛吐清水亦止,{'泛吐清水': '临床表现'}
方中黄芪补气健脾利尿，能促进肝细胞合成白蛋白，抑制间质细胞胶原合成，促进细胞免疫，从而减轻肝细胞变性、坏死及炎症反应,{'黄芪': '中药'}
逍遥散联合匹维溴铵片治疗腹泻型肠易激综合征临床观察,"{'匹维溴铵片': '西医治疗', '腹泻型肠易激综合征': '西医诊断'}"
上焦宣痹汤联合泮托拉唑治疗胃食管反流性咳嗽（湿热证）的临床研究,{'泮托拉唑': '西医治疗'}
方法：１１０例肝郁脾虚型反流性食管炎患者随机分为两组（ｎ＝５５），对照组患者应用泮托拉唑肠溶胶囊，观察组应用柴芍六君汤加减，比较两组患者治疗前后症状变化、胃镜下食管病变程度及不良反应等情况,"{'肝郁脾虚': '中医证候', '柴芍六君汤加减': '方剂'}"
目的：观察柴胡疏肝散加减联合质子泵抑制剂（ＰＰＩ）治疗高原地区胃食管反流病（ｇａｓｔｒｏｅｓｏｐｈａｇｅａｌｒｅｆｌｕｓｄｉｓｅａｓｅ，ＧＥＲＤ）的疗效,"{'质子泵抑制剂': '西医治疗', '高原地区胃食管反流病': '西医诊断'}"
目的：观察中医调肝理脾通腑法结合饮食治疗便秘型肠易激综合征患者的临床疗效,"{'调肝理脾通腑': '中医治则', '便秘型肠易激综合征': '西医诊断'}"
按：本例患者心气虚衰，血脉瘀阻，已涉及到肝脾胃，致肝脾胃血脉瘀阻，肝失疏泄，脾失健运，胃失和降则见胁下痞块（肝大）、脘腹胀满、胁胀疼痛、纳呆、下肢水肿、尿少、大便溏,"{'心气虚': '中医证候', '腹胀满': '临床表现', '疼痛': '临床表现', '纳呆': '临床表现', '水肿': '临床表现', '尿少': '临床表现', '便溏': '临床表现'}"
目的：观察香砂六君子汤治疗慢性萎缩性胃炎的临床效果,"{'香砂六君子汤': '方剂', '慢性萎缩性胃炎': '西医诊断'}"
患者臌胀两年，多服利尿伤阴之品，然水道不利，邪无出路，湿热交织，滋蔓难图,{'湿热': '中医证候'}
中药硬膏贴热贴敷关元治疗脾肾阳虚型功能性便秘临床观察,"{'中药硬膏贴热贴敷关元': '中医治疗', '脾肾阳虚': '中医证候', '功能性便秘': '西医诊断'}"
诊断：不寐、鼓胀（中医），失眠症、肝硬化失代偿期（西医）,"{'鼓胀': '中医诊断', '失眠': '西医诊断', '肝硬化': '西医诊断'}"
方法：选择ＣＡＧ脾虚瘀滞证患者９０例，随机分为治疗组６０例和对照组３０例,{'脾虚瘀滞': '中医证候'}
２月１１日二诊：浮肿明显减轻，已能下床行走，血压正常，入睡困难且易醒，曾有舌痈，无心悸，纳少，四末不温，腿有瘀斑，大便不爽，舌淡，苔薄白，脉弦细,"{'浮肿': '临床表现', '心悸': '临床表现', '苔薄白': '临床表现'}"
遵原方继服１４剂，双下肢轻肿，无脘腹胀满及胁胀疼痛，无心悸气喘，纳可，便调,"{'双下肢轻肿': '临床表现', '腹胀满': '临床表现', '疼痛': '临床表现', '气喘': '临床表现', '纳可': '临床表现', '便调': '临床表现'}"
２００３年９月２５日入院，入院前一天晚餐进食油腻食物及饮啤酒５ｈ后出现上腹胀痛，伴恶心、呕吐，发病后未再进食，排不成形稀便５次、量小，无排气，小便量小,"{'上腹胀痛': '临床表现', '伴恶心': '临床表现', '呕吐': '临床表现', '稀便': '临床表现'}"
２个月前自觉乏力、腹胀、下肢浮肿、小便黄赤，在某大医院诊断为酒精性肝硬化（失代偿期），腹水，低蛋白血症，脾功能亢进,"{'乏力': '临床表现', '酒精性肝硬化': '西医诊断', '腹水': '西医诊断', '低蛋白血症': '西医诊断'}"
当归、乌药调和气血，提高机体免疫功能,{'乌药': '中药'}
复方蜥蜴散不同微粒组合剂治疗慢性萎缩性胃炎临床研究,{'复方蜥蜴散': '方剂'}
查体：舌绛紫无苔，脉细稍数,"{'舌绛紫无苔': '临床表现', '脉细稍数': '临床表现'}"
试验组每晚采用自拟通肠便膏贴敷足阳明胃经的天枢穴，每日１次,{'通肠便膏贴敷': '中医治疗'}
针刺；资生汤加减；脾胃虚弱型；慢性萎缩性胃炎,"{'针刺': '中医治疗', '脾胃虚弱': '中医证候', '慢性萎缩性胃炎': '西医诊断'}"
治宜化滞清肠，主以白头翁汤加味：白头翁１２克，秦皮９克，焦白术９克，山药９克，川黄连９克，生槐实１２克，泽泻９克，陈皮９克，川黄柏９克，茯苓１５克，木香８克，炒莱菔子９克，焦三仙各９克,"{'白头翁汤加味': '方剂', '秦皮': '中药', '焦白术': '中药', '山药': '中药', '黄连': '中药', '槐实': '中药', '泽泻': '中药', '黄柏': '中药', '茯苓': '中药', '木香': '中药', '莱菔子': '中药', '焦三仙': '中药'}"
按：肝硬化腹水属中医“臌胀”范畴，其基本病机是肝脾受损，运化失常，气血阻滞，水气内停,{'腹水': '临床表现'}
海浮石、煅龙牡、炮甲片软坚散结，桔梗引经入肺,"{'海浮石': '中药', '煅龙': '中药', '软坚散结': '中药'}"
证属肝郁血虚、气滞血瘀、湿热内蕴,"{'肝郁血虚': '中医证候', '气滞血瘀': '中医证候'}"
二诊：腹胀稍减，黄疸减退不明显，于前方中加干姜１,{'干姜': '中药'}
对照组采用四联疗法治疗，观察组采用益气活血方联合四联疗法治疗，２组分别于治疗前（第０天）及治疗后（第４０天）进行ＰＧ检测,{'四联疗法': '西医治疗'}
卢某某，女，５１岁，干部，于９５年１月３日因右上胁肋隐痛，黄疸１３天，伴发热１０天为主证住入本院传染科（住院号０１９２１４），并见口苦纳差，头痛，大便秘（三日一行）、小便深黄，身热３８℃，肋下肝大一横指并按痛明显,"{'黄疸': '中医诊断', '口苦': '临床表现', '头痛': '临床表现'}"
本病病因主要责之于湿，正如《金匮要略》所言：“黄家所得，从湿得之”基本病机为肝脾不调，湿阻血滞，胆汁不循常道而外溢，是以迁延反复，其证与当归芍散证虽不相同，但其病机与之相合,{'当归': '中药'}
结论：益胃活血颗粒可明显改善患者血瘀证及其血液流变学指标，这对治疗高原地区慢性萎缩性胃炎有重要指导意义．,"{'血瘀': '中医证候', '慢性萎缩性胃炎': '西医诊断'}"
一般情况可，咽部暗红，双侧扁桃体不肿大，心肺（一），腹水征（一），双肾区叩击痛（＋），双下肢中度浮肿,{'浮肿': '临床表现'}
诊断为原发性肝胆管结石伴感染，急性胆囊炎（湿热型）,"{'原发性肝胆管结石伴感染': '西医诊断', '急性胆囊炎': '西医诊断', '湿热型': '中医证候'}"
柴胡疏肝散对功能性消化不良肝气郁结证患者胃动力及胃肠激素的影响,"{'柴胡疏肝散': '方剂', '肝气郁结': '中医证候'}"
３０ｇ，西党参１５ｇ，全当归９ｇ，炒山药１５ｇ，云茯苓１０ｇ，炙甘草１０ｇ，炒白术１０ｇ,"{'西党参': '中药', '全当归': '中药', '炒山药': '中药', '云茯苓': '中药', '炙甘草': '中药'}"
方法将１２１例脾虚气逆型胃食管反流病患者随机分为治疗组与对照组,"{'脾虚气逆': '中医证候', '胃食管反流病': '西医诊断'}"
欣胃颗粒；气阴两虚兼血瘀型；慢性萎缩性胃炎；临床观察,"{'气阴两虚兼血瘀': '中医证候', '慢性萎缩性胃炎': '西医诊断'}"
对照组采用辛伐他汀口服治疗，治疗组在对照组基础上加用参苓白术散口服治疗,{'辛伐他汀': '西医治疗'}
后再次反复剑下及右上腹痛，向背部放射，伴畏寒（有时寒战）、高热（３９℃－４０℃）、全身不适，约每２０天至一月发作一次，不敢进油脂饮食，每经输液抗感染缓解,"{'反复剑下及右上腹痛，向背部放射': '临床表现', '畏寒（有时寒战）': '临床表现', '高热': '临床表现'}"
结果：Ａ组治疗６周后脘腹胀满、嗳气泛酸评分与同组治疗前比较，差异均具有统计学意义（Ｐ＜０,"{'脘腹胀满': '临床表现', '嗳气泛酸': '临床表现'}"
麦冬１０克,{'麦冬': '中药'}
黄芩９ｇ,{'黄芩': '中药'}
（２）治疗组在改善功能性消化不良的临床症状上优于对照组,{'功能性消化不良': '西医诊断'}
白术、苍术、陈皮芳香温中，燥湿醒脾，使湿从中化，以除生湿之源,"{'苍术': '中药', '陈皮': '中药'}"
功能性便秘；中药敷贴；按摩；点穴,{'中药敷贴': '中医治疗'}
胃萎方治疗慢性萎缩性胃炎脾虚瘀滞证的临床疗效观察,{'脾虚瘀滞': '中医证候'}
２００５－０１—２００７－０６，我们自拟健脾疏肝方治疗ＦＤ肝郁脾虚型５０例，并与吗叮啉治疗５０例对照观察，观察对胃排空功能的影响，结果如下,"{'健脾疏肝方': '方剂', '肝郁脾虚': '中医证候'}"
现代药理研究证明，桂枝所含有效成分之一——桂皮油能使血管扩张，调整血液循环,{'桂枝': '中药'}
枳实；生白术；生物反馈；功能性便秘；肛门直肠动力学,{'生白术': '中药'}
功能性消化不良；参苓胃消胶囊；多潘立酮；胃排空,"{'功能性消化不良': '西医诊断', '参苓胃消胶囊': '中医治疗', '多潘立酮': '西医治疗'}"
治以益气养心、理气通脉、疏肝和胃、健脾利水,"{'养心': '中医治则', '理气': '中医治则', '疏肝和胃': '中医治则', '健脾利水': '中医治则'}"
结论：中药结合针灸治疗慢性功能性便秘疗效显著,"{'针灸': '中医治疗', '慢性功能性便秘': '西医诊断'}"
荷叶调脂疏肝汤；［４３３８９０６］利拉鲁肽；［２５２７６７３］糖耐量异常；［６６９５２６１］非酒精性脂肪肝；,{'利拉鲁肽': '西医治疗'}
目的：临床观察中医药胃转安一、二号冲剂对胃癌前病变患者的治疗效果及对胃蛋白酶原的影响,{'胃癌前病变': '西医诊断'}
生大黄苦降，荡涤积滞、驱蛔杀虫，在大剂温热药中加一味苦寒药，无助邪之弊，却有反佐之功,{'生大黄': '中药'}
芦巴子苦温纯阳，能入肾补命门，暖丹田，壮元阳，元阳不足，冷气潜伏不能归元者益之（《本草求真》），此五者共为佐使药,{'芦巴子': '中药'}
针灸配合当归四逆汤治疗慢性萎缩性胃炎疗效观察,"{'针灸': '中医治疗', '慢性萎缩性胃炎': '西医诊断'}"
治宜视病情虚实轻重，分清先后缓急，灵活化裁，先予清热养阴，化痰解毒，散结消坚，以达热去痰消，即用自拟花贝汤,{'自拟花贝汤': '方剂'}
９ｍｇ／ｄＬ，黄疸重,{'黄疸': '中医诊断'}
柴胡加龙骨牡蛎汤联合兰索拉唑治疗非糜烂性胃食管反流病４５例,"{'兰索拉唑': '西医治疗', '非糜烂性胃食管反流病': '西医诊断'}"
通便止痛露治疗功能性便秘１６０例,"{'通便止痛露': '中医治疗', '功能性便秘': '西医诊断'}"
方法将９５例气虚血瘀型慢性萎缩性胃炎患者随机分为对照组４８例和治疗组４７例，对照组给予胃复春片治疗，治疗组给予丹芪祛瘀止痛颗粒治疗，２组疗程均为１２周,"{'气虚血瘀': '中医证候', '慢性萎缩性胃炎': '西医诊断', '丹芪祛瘀止痛颗粒': '中医治疗'}"
结论六味安消散联合伊托必利可有效缓解慢性功能性便秘患者临床症状，改善肠道功能，同时缓解患者焦虑、抑郁情绪，且疗效优于伊托必利治疗,"{'六味安消散': '方剂', '慢性功能性便秘': '西医诊断'}"
结论：通过联合半夏泻心汤和针灸显著提高了寒热错杂型ＧＥＲＤ的临床疗效，患者中医症状积分和食道压力得到明显改善，明显提升了患者生活质量，值得在后期临床中推广应用,{'针灸': '中医治疗'}
结论：温中消秘汤结合生物反馈治疗功能性便秘优于莫沙必利组，温中消秘汤结合生物反馈治疗功能性便秘为治疗功能性便秘的较佳方法,"{'生物反馈': '其他治疗', '功能性便秘': '西医诊断'}"
槐花、地榆、大黄、白茅根内清浊毒，则中焦畅达，不健脾而脾自运,"{'槐花': '中药', '大黄': '中药', '白茅根': '中药'}"
按：本例为胆结石胆囊炎手术后，而见脘腹痞满，呕恶嗳气，食纳不香，便溏色白等症，前医见溏泻便白诊为术后脾胃虚弱，叠进益气健脾之品，药石不中的，病情如故,{'嗳气': '临床表现'}
功能性消化不良；多虑平；仕乐生,{'功能性消化不良': '西医诊断'}
查体：右下肺呼吸音消失，右第７肋叩诊浊音，腹水征（＋），双下肢重度指凹性水肿,{'水肿': '中医诊断'}
结论：柴胡疏肝散合小陷胸汤治疗非糜烂性反流性食管炎疗效显著,"{'小陷胸汤': '方剂', '非糜烂性反流性食管炎': '西医诊断'}"
肠疾病／中医药疗法，复方（中药）／治疗应用，＠逍遥散／治疗应用，益气药剂／治疗应用，理气药剂／治疗应用,{'逍遥散': '方剂'}
６０ＩＵ／Ｌ），白蛋白２６ｇ／Ｌ，球蛋白３７ｇ／Ｌ，西医诊断：乙型肝炎肝硬化失代偿,{'乙型肝炎肝硬化失代偿': '西医诊断'}
中西医结合治疗慢性萎缩性胃炎的效果评价,{'慢性萎缩性胃炎': '西医诊断'}
方法：将６８例ＣＡＧ气虚血瘀型患者随机分为治疗组和对照组各３４例，治疗组给予万年荞、水三七药对加味内服治疗，对照组给予胃复春片４片／次，３次／ｄ治疗，疗程１２周,{'气虚血瘀': '中医证候'}
９℃，急性病容，精神困倦，心肺无异常，腹部情况如前述，舌淡少津、苔黄厚而腻，脉细数,"{'急性病容': '临床表现', '精神困倦': '临床表现', '心肺无异常': '临床表现', '苔黄厚而腻': '临床表现'}"
败酱草、板蓝根以降絮，并防止肝细胞损害,{'板蓝根': '中药'}
结论自拟运肠通腑煎剂与马来酸曲美布汀联合用药，可明显改善便秘型肠易激综合征患者各种临床症状，患者生活质量明显提高，有推广价值,"{'马来酸曲美布汀': '西医治疗', '便秘型肠易激综合征': '西医诊断'}"
小陷胸汤化裁治疗非酒精性脂肪肝临床研究,{'小陷胸汤化裁': '方剂'}
茯苓健脾渗湿，泽泻淡渗利湿，以达湿祛黄退,{'茯苓': '中药'}
苍术１５ｇ,{'苍术': '中药'}
结论消痞愈萎汤联合胃复春片治疗ＣＡＧ伴ＩＭ或Ｄｙｓ能明显改善患者临床症状，在一定程度上可逆转胃黏膜病理改变,{'胃复春片': '中医治疗'}
出院后肝区一直隐隐作痛，巩膜稍黄染，尿黄，精神差，食欲不振，舌苔薄腻，质稍紫，近日复查，肝超声波提示肝肿大,"{'巩膜稍黄染': '临床表现', '尿黄': '临床表现', '精神差': '临床表现', '食欲不振': '临床表现', '舌苔薄腻': '临床表现'}"
证属湿热疫毒蕴积肝胆,{'湿热疫毒蕴积肝胆': '中医证候'}
目的评价疏肝胃安颗粒联合埃索美拉唑镁肠溶片和莫沙必利片治疗胃食管反流病的临床疗效,"{'疏肝胃安颗粒': '中医治疗', '莫沙必利片': '西医治疗', '胃食管反流病': '西医诊断'}"
元胡１０克,{'元胡': '中药'}
方法采用多中心、随机、双盲的方法将１６２例脾胃虚寒证功能性消化不良患者分为试验组和对照组，分别采用中药和安慰剂治疗，疗程４周，治疗结束后第１个月随访,"{'脾胃虚寒': '中医证候', '功能性消化不良': '西医诊断'}"
其中尤其是鸡内金能化铁、铜、瓷、石等异物，善于消石化积，又能增强中焦消化功能，笔者常用此药加入应证汤药中使用，以治疗肝胆结石，每收良效，堪称治肝胆结石的良药,{'鸡内金': '中药'}
方法将７５例ＦＤ肝胃郁热证患者随机分为治疗组３８例与对照组３７例，对照组服用西药吗丁啉片剂与安慰剂（糖水），治疗组服用加减四逆散汤剂与安慰剂片剂,{'肝胃郁热': '中医证候'}
非酒精性脂肪肝；ＳＯＤ；ＭＤＡ；中医药疗法,{'非酒精性脂肪肝': '西医诊断'}
结论：车前子生粉对慢性功能性便秘疗效确切显著，复发率低，极具开发推广应用价值,{'车前子生粉': '中药'}
中西医结合治疗功能性消化不良３９例,{'功能性消化不良': '西医诊断'}
中医诊断：泄泻病（脾胃虚弱型证）,"{'泄泻病': '中医诊断', '脾胃虚弱型证': '中医证候'}"
治之之法，于清利湿热之剂中加入舒肝解郁、祛瘀或驱蛔之品，则胆道清而黄自退矣,"{'清利湿热': '中医治则', '祛瘀': '中医治则'}"
目的观察自拟疏肝健脾化浊汤联合多烯磷脂酰胆碱治疗新发非酒精性脂肪肝（ＮＡＦＬＤ）患者的疗效及对炎性反应和氧化－抗氧化系统失衡的影响,"{'多烯磷脂酰胆碱': '西医治疗', '新发非酒精性脂肪肝': '西医诊断'}"
中西药物联用治疗慢性萎缩性胃炎５８例,{'慢性萎缩性胃炎': '西医诊断'}
慢性萎缩性胃炎６种证型胃镜像和病理学表现研究,{'慢性萎缩性胃炎': '西医诊断'}
服药７剂，尿量显著增加，２４ｈ２５００ｍｌ左右，大便基本１行／ｄ，去甘遂，改大黄为１０ｇ，茵陈蒿为３０ｇ,{'大便': '临床表现'}
目的：观察温中健脾脐贴对肠易激综合征脾虚湿阻型患者的临床疗效,"{'温中健脾脐贴': '中医治疗', '脾虚湿阻': '中医证候'}"
心脏彩超示：冠心病，全心衰竭,{'冠心病': '西医诊断'}
目的：观察四逆二陈平胃散治疗功能性消化不良肝郁脾虚、湿阻气滞型的临床疗效,"{'肝郁脾虚': '中医证候', '湿阻气滞': '中医证候'}"
治则：清热利湿、通腑退黄,"{'清热利湿': '中医治则', '通腑退黄': '中医治则'}"
结论加味柴胡疏肝散治疗功能性消化不良肝郁气滞证患者疗效确切，能明显改善中医证候，提高胃电频率和幅值，增加胃动力，安全无副作用，值得临床推广,{'肝郁气滞': '中医证候'}
结论香术砂片对人体有明显的促消化功能，且对人体健康无不良影响,{'香术砂片': '方剂'}
目的：观察腹针疗法联合心理治疗对功能性消化不良（ＦＤ）合并焦虑抑郁状态患者的疗效,"{'腹针': '中医治疗', '功能性消化不良': '西医诊断'}"
砂仁６ｇ,{'砂仁': '中药'}
败酱草１０ｇ,{'败酱草': '中药'}
埋线组可明显改善慢性萎缩性胃炎患者临床常见的上腹部疼痛、嗳气、嘈杂、恶心及不适感等症状（与治疗前比较，Ｐ＜０,"{'慢性萎缩性胃炎': '西医诊断', '上腹部疼痛': '临床表现', '嘈杂': '临床表现', '恶心': '临床表现'}"
自述春耕劳作后约一星期，腹胀，神疲，畏寒，四肢不温，身目发黄，面色晦暗，食少脘闷，大便溏,"{'畏寒': '临床表现', '面色晦暗': '临床表现', '脘闷': '临床表现'}"
方用茵陈蒿汤清热利胆,{'茵陈': '中药'}
方法：８３例新生儿ＧＥＲ随机分为３组：四磨汤组３０例，西沙比利组２７例，常规治疗组２６例,{'四磨汤': '方剂'}
治疗组以枳术丸加味（处方：）治疗,{'枳术丸加味': '方剂'}
结果：①善胃Ⅰ号方治疗后总有效率明显优于对照组,{'善胃Ⅰ号方': '方剂'}
０５），且麻枳降浊方组治疗后降低水平较复方芦荟胶囊组及西沙必利片组更明显（Ｐ＜０,{'麻枳降浊方': '方剂'}
〔按〕该例因七情郁结，饮食内伤，肝脾失和，气机不调等多种原因，致肝脾脉络壅塞，血瘀气滞，三焦与气化失司，浊水积于体内而成臌胀,{'臌胀': '中医诊断'}
记录两组患者穴位贴敷出现的不良反应,{'穴位贴敷': '中医治疗'}
患者素有慢性胃炎两年余，病情常反复,{'慢性胃炎': '西医诊断'}
黄疸退后，正气略虚，方中加入党参、白术既健脾益气，又防三棱、莪术攻伐太过,{'黄疸': '中医诊断'}
慢性萎缩性胃炎；胃萎复健汤；果胶铋；疗效,"{'慢性萎缩性胃炎': '西医诊断', '胃萎复健汤': '中医治疗'}"
症见：乏力气短，食欲不振，腹胀如鼓，双下肢凹陷性浮肿，小便黄少,"{'气短': '临床表现', '食欲不振': '临床表现', '腹胀如鼓': '临床表现', '双下肢凹陷性浮肿': '临床表现', '小便黄少': '临床表现'}"
连服３８剂，至４月９日，颈部肿大淋巴结已见缩小，局部活动较自如，睡好神佳，痰易咳出，无头痛，口不苦，颈部已不用小手帕裹住，但仍有胁痛，开始恢复半天工作,"{'头痛': '临床表现', '胁痛': '临床表现'}"
因腹痛呕吐，恶寒发热（Ｔ３９℃）住院，经检查确诊为（１）急性胰腺炎，（２）麻痹性肠梗阻，西医用禁食，补液支持疗法，抗菌素，肛门导气等，疗效不佳，乃邀吾会诊,{'急性胰腺炎': '西医诊断'}
马普替林；柴胡疏肝丸；功能性消化不良,"{'马普替林': '西医治疗', '功能性消化不良': '西医诊断'}"
３月１１日：腹痛未作，大便通畅，体温正常，伤口肿痛渐轻解，仍有食少脘闷，舌苔较灰白腻,"{'腹痛未作': '临床表现', '大便通畅': '临床表现', '体温正常': '临床表现', '伤口肿痛渐轻解': '临床表现', '脘闷': '临床表现', '舌苔较灰白腻': '临床表现'}"
归脾汤合逍遥散治疗便秘型肠易激综合征临床研究,"{'逍遥散': '方剂', '便秘型肠易激综合征': '西医诊断'}"
结论：滋阴润肠口服液配合腹式呼吸能显著提高老年功能性便秘的治疗效果．,"{'滋阴润肠口服液': '中医治疗', '老年功能性便': '西医诊断'}"
目的：观察加味枳术汤治疗功能性消化不良（ＦＤ）的临床效果,{'功能性消化不良': '西医诊断'}
外科会诊为不全性肠梗阻,{'不全性肠梗阻': '西医诊断'}
香砂六君子汤合柴胡疏肝散加减治疗萎缩性胃炎脾胃虚弱型的临床观察,"{'柴胡疏肝散': '方剂', '脾胃虚弱': '中医证候'}"
【结论】健脾调中消痞方对功能性消化不良患者的治疗有显著效果,"{'健脾调中消痞方': '方剂', '功能性消化不良': '西医诊断'}"
目的观察藿香正气丸、马来酸曲美布汀联合乳酸菌胶囊治疗感染后肠易激综合征（ＩＢＳ）合并小肠细菌过度生长（ＳＩＢＯ）的疗效及对血清降钙素基因相关肽（ＣＧＲＰ）、内皮素（ＥＴ）、神经肽Ｙ（ＮＰＹ）的影响,{'乳酸菌胶囊': '西医治疗'}
半夏泻心汤化裁治疗功能性消化不良５６例临床观察,{'功能性消化不良': '西医诊断'}
同时，治疗完成３个月后对两组患者分别进行随访，分别比较和分析两组功能性消化不良患者治疗前后临床症状体征积分、临床治疗效果以及３个月后病情复发情况,{'功能性消化不良': '西医诊断'}
方法：将符合诊断标准的１２０例患者随机分为中药组（萎胃通调汤）、穴位组（复方当归注射液穴位注射）、中药加穴位组（萎胃通调汤加穴位注射）、对照组（胃复春片）４组，治疗３个月,{'穴位注射': '中医治疗'}
对照组给予枸橼酸莫沙比利片治疗，观察组在此基础上给予自拟三仁汤治疗，２组均以４周为１个疗程，治疗１个疗程后，观察２组治疗前后临床症状评分、胃排空指标及胃肠激素水平变化情况，评估２组疗效,{'三仁汤': '方剂'}
方以柴胡疏肝散合胃苓汤加减：北柴胡６ｇ，制香附９ｇ，郁金９ｇ，陈皮６ｇ，川芎６ｇ，白芍９ｇ，苍术９ｇ，厚朴９ｇ，茯苓１５ｇ，猪苓１５ｇ，白术９ｇ，泽泻１５ｇ,"{'柴胡疏肝散合胃苓汤加减': '方剂', '柴胡': '中药', '制香附': '中药', '陈皮': '中药', '川芎': '中药', '苍术': '中药', '厚朴': '中药', '茯苓': '中药', '猪苓': '中药', '白术': '中药', '泽泻': '中药'}"
肠易激综合征；腹泻型；推拿；抑郁；生活质量；血清５－ＨＴ,"{'腹泻': '临床表现', '推拿': '中医治疗'}"
痛泻要方加味配合心理疗法治疗腹泻型肠易激综合征３０例疗效观察,"{'痛泻要方加味': '方剂', '心理疗法': '其他治疗', '腹泻型肠易激综合征': '西医诊断'}"
治疗组以疏香灸联合心理疏导治疗,{'疏香灸': '中医治疗'}
目的：观察自拟益胃和营汤联合莫沙必利治疗功能性消化不良的临床疗效,{'功能性消化不良': '西医诊断'}
该案灌肠方中以大剂量的白芍缓急止痛，配甘草酸甘化阴润燥以缓解梗阻局部的痉挛，生大黄通腑活血，三七粉、三棱、莪术、水蛭逐瘀散结，诸药合用，刚柔相济，避免逐瘀药的破血动血之弊,"{'白芍': '中药', '大黄': '中药', '三七粉': '中药', '三棱': '中药'}"
治疗组４５例在对照组治疗基础上加当飞利肝宁胶囊治疗,{'当飞利肝宁胶囊': '中医治疗'}
方法：对组照５２例，给予匹维溴铵和培菲康口服,"{'匹维溴铵': '西医治疗', '培菲康': '西医治疗'}"
肝功黄疸指数为１３０单位，谷丙转氨酶２３０单位（金氏法），麝浊１７单位，锌浊２０单位以上,{'黄疸': '中医诊断'}
中药达立通颗粒联合质子泵抑制剂治疗胃食管反流病疗效观察,"{'达立通颗粒': '中医治疗', '胃食管反流病': '西医诊断'}"
入院诊断：病毒性肝炎，乙型，慢性重度,{'病毒性肝炎': '西医诊断'}
方法：将４６例ＮＡＦＬＤ合并ＨＵＡ的患者随机分为两组，治疗组２５例，予以中药脂Ⅰ方（由白术、茯苓、桑寄生、巴戟天、象贝母、粉萆薜等组成），水煎服,"{'中药脂Ⅰ方': '方剂', '白术': '中药', '茯苓': '中药', '桑寄生': '中药', '象贝母': '中药', '粉萆薜': '中药'}"
目的：观察健脾消胀颗粒对功能性消化不良痞满脾虚气滞证患者的治疗效果和安全性,"{'健脾消胀颗粒': '中医治疗', '功能性消化不良': '西医诊断', '脾虚气滞': '中医证候'}"
方法：分析５２例功能性消化不良患者的病例资料，其中治疗组应用健胃消胀合剂治疗３２例，对照组采用枸橼酸莫沙比利胶囊治疗２０例，治疗４周后随访３月，观察２组患者治疗前后临床疗效,{'功能性消化不良': '西医诊断'}
代谢组学结果表明，电针或西药治疗１个疗程均可以使患者血浆代谢水平向正常组恢复，但治疗４个疗程后针灸组主要使患者体内乳酸、葡萄糖和乙酰乙酸的含量提高，西药组则主要表现为降低胆碱、亮氨酸／异亮氨酸的水平,{'电针': '中医治疗'}
结论滋阴养血润肠汤治疗老年功能性便秘有较好疗效,"{'滋阴养血润肠汤': '方剂', '老年功能性便秘': '西医诊断'}"
两组患者均服用芪蓉润肠口服液，１４ｄ为１个疗程，连续２个疗程,{'芪蓉润肠口服液': '西医治疗'}
证属脾土虚弱，气血不足，营卫不和，治以健脾益气，养血和营,"{'营卫不和': '中医证候', '健脾益气': '中医治则'}"
３诊：服药后又水泻十多次，吐一二次，腹水消去十分之八，体重又减轻１０ｋｇ,{'腹水': '中医诊断'}
药方选用燮枢汤的一大部分药物（柴胡、黄芩、炒川楝子、片姜黄、泽泻、皂刺，后来又加了原方中的刺蒺藜、红花、焦四仙）疏调肝气、活瘀散结,"{'黄芩': '中药', '炒川楝子': '中药', '片姜黄': '中药', '泽泻': '中药', '皂刺': '中药', '刺蒺藜': '中药', '红花': '中药', '焦四仙': '中药'}"
善胃Ⅰ—Ⅲ号方治疗慢性萎缩性胃炎胃癌前病变的临床研究,{'慢性萎缩性胃炎胃癌前病变': '西医诊断'}
方用桃核承气汤加味：桃仁、大黄、三棱、莪术、当归尾、川芎各１０克，芒硝（分冲）、桂枝、炙甘草各６克，水煎服,"{'桃核承气汤加味': '方剂', '桃仁': '中药', '大黄': '中药', '三棱': '中药', '当归尾': '中药', '川芎': '中药', '芒硝': '中药', '桂枝': '中药', '炙甘草': '中药'}"
